PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM,POSITION,POS_ORDER,ROLE_NAME,DORSAL,PHOTO_URL,GP,GS,MIN_PG,PTS_PG,ORB_PG,DRB_PG,TRB_PG,AST_PG,STL_PG,BLK_PG,BLKA_PG,TOV_PG,PF_PG,PFD_PG,PLUS_MINUS_PG,PIR_PG,FGM_2_PG,FGA_2_PG,FG2_PCT,FGM_3_PG,FGA_3_PG,FG3_PCT,FTM_PG,FTA_PG,FT_PCT,TS_PCT,EFG_PCT,3PAr,FTr,TOV_PCT,GMSC_PG,ROLE_EFG_PCT,ROLE_TS_PCT,ROLE_TOV_PCT,ROLE_ORB_PCT,ROLE_FTr,ROLE_USG_PCT,PTS,TRB,AST,STL,BLK,TOV,PIR,FGM_2,FGA_2,FGM_3,FGA_3,FTM,FTA,MIN_TOTAL,MIN_SECS_TOTAL
2425972,S. Suárez González,986092,ALIMERKA OVIEDO BALONCESTO,,6,,1.0,https://imagenes.feb.es/Foto.aspx?c=2425972,1,0,10.5,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,-11.0,-3.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,33.3,-1.9,,,,,,,2.0,1.0,0.0,1.0,0.0,2.0,-3.0,1.0,3.0,0.0,1.0,0.0,0.0,10.5,631.0
2481349,O. Fall Fernandez,986092,ALIMERKA OVIEDO BALONCESTO,,6,,9.0,https://imagenes.feb.es/Foto.aspx?c=2481349,1,0,10.8,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.7,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,10.8,648.0
2248753,M. Bascoy Fernandez,985683,BALIDEA OBRADOIRO,,6,,22.0,https://imagenes.feb.es/Foto.aspx?c=2248753,1,1,18.9,15.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,3.0,2.0,3.0,37.0,16.0,5.0,8.0,62.5,1.0,1.0,100.0,2.0,3.0,66.7,72.7,72.2,11.1,33.3,22.5,10.6,,,,,,,15.0,4.0,3.0,0.0,0.0,3.0,16.0,5.0,8.0,1.0,1.0,2.0,3.0,18.9,1135.0
2249449,S. Bernal Sangiao,985683,BALIDEA OBRADOIRO,,6,,11.0,https://imagenes.feb.es/Foto.aspx?c=2249449,1,0,20.6,15.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0,16.0,19.0,4.0,6.0,66.7,1.0,2.0,50.0,4.0,5.0,80.0,73.5,68.8,25.0,62.5,8.9,11.9,,,,,,,15.0,3.0,0.0,1.0,0.0,1.0,19.0,4.0,6.0,1.0,2.0,4.0,5.0,20.6,1234.0
2437539,N. Godon Penedo,985683,BALIDEA OBRADOIRO,,6,,20.0,https://imagenes.feb.es/Foto.aspx?c=2437539,1,1,18.6,15.0,2.0,4.0,6.0,4.0,3.0,0.0,0.0,0.0,1.0,3.0,30.0,27.0,2.0,2.0,100.0,3.0,4.0,75.0,2.0,4.0,50.0,96.6,108.3,66.7,66.7,0.0,20.0,,,,,,,15.0,6.0,4.0,3.0,0.0,0.0,27.0,2.0,2.0,3.0,4.0,2.0,4.0,18.6,1114.0
2295556,M. Riveiro Iglesias,985683,BALIDEA OBRADOIRO,,6,,30.0,https://imagenes.feb.es/Foto.aspx?c=2295556,1,1,18.8,14.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,3.0,2.0,1.0,22.0,12.0,5.0,6.0,83.3,1.0,4.0,25.0,1.0,2.0,50.0,64.3,65.0,40.0,20.0,21.6,8.8,,,,,,,14.0,5.0,1.0,1.0,0.0,3.0,12.0,5.0,6.0,1.0,4.0,1.0,2.0,18.8,1129.0
2791515,V. Oliveira Leite,985683,BALIDEA OBRADOIRO,,6,,12.0,https://imagenes.feb.es/Foto.aspx?c=2791515,1,1,14.3,9.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,12.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,90.0,90.0,40.0,0.0,16.7,8.8,,,,,,,9.0,5.0,0.0,0.0,0.0,1.0,12.0,3.0,3.0,1.0,2.0,0.0,0.0,14.3,857.0
2237039,A. Traveso Marra,985683,BALIDEA OBRADOIRO,,6,,23.0,https://imagenes.feb.es/Foto.aspx?c=2237039,1,0,22.7,8.0,1.0,6.0,7.0,6.0,1.0,0.0,1.0,1.0,2.0,2.0,28.0,16.0,1.0,3.0,33.3,2.0,5.0,40.0,0.0,0.0,0.0,50.0,50.0,62.5,0.0,11.1,9.5,,,,,,,8.0,7.0,6.0,1.0,0.0,1.0,16.0,1.0,3.0,2.0,5.0,0.0,0.0,22.7,1360.0
2437253,P. Fernandez Lopez,985683,BALIDEA OBRADOIRO,,6,,34.0,https://imagenes.feb.es/Foto.aspx?c=2437253,1,1,16.2,8.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,4.0,9.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,44.4,44.4,0.0,0.0,18.2,1.0,,,,,,,8.0,2.0,1.0,0.0,0.0,2.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,16.2,972.0
2295938,G. Garcia Baltar,985683,BALIDEA OBRADOIRO,,6,,1.0,https://imagenes.feb.es/Foto.aspx?c=2295938,1,0,20.5,7.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,12.0,4.0,2.0,5.0,40.0,1.0,4.0,25.0,0.0,0.0,0.0,38.9,38.9,44.4,0.0,18.2,2.5,,,,,,,7.0,3.0,1.0,1.0,0.0,2.0,4.0,2.0,5.0,1.0,4.0,0.0,0.0,20.5,1232.0
2635772,P. Alonso Marín,985683,BALIDEA OBRADOIRO,,6,,14.0,https://imagenes.feb.es/Foto.aspx?c=2635772,1,0,13.2,6.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,15.0,7.0,2.0,3.0,66.7,0.0,1.0,0.0,2.0,4.0,50.0,52.1,50.0,25.0,100.0,0.0,5.7,,,,,,,6.0,2.0,1.0,2.0,0.0,0.0,7.0,2.0,3.0,0.0,1.0,2.0,4.0,13.2,793.0
2788821,D. Mangana Mbumba,985683,BALIDEA OBRADOIRO,,6,,44.0,https://imagenes.feb.es/Foto.aspx?c=2788821,1,0,18.5,4.0,1.0,3.0,4.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,43.0,8.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,33.3,4.0,,,,,,,4.0,4.0,2.0,0.0,2.0,2.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,18.5,1109.0
2363195,A. López Sánchez,985683,BALIDEA OBRADOIRO,,6,,42.0,https://imagenes.feb.es/Foto.aspx?c=2363195,1,0,17.8,3.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,14.0,1.0,1.0,2.0,50.0,0.0,3.0,0.0,1.0,2.0,50.0,25.5,20.0,60.0,40.0,25.4,1.5,,,,,,,3.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,17.8,1065.0
2156459,P. Cruz Urbaneja,981736,BARÇA,,6,,12.0,https://imagenes.feb.es/Foto.aspx?c=2156459,1,1,23.7,13.0,2.0,3.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,11.0,15.0,0.0,2.0,0.0,2.0,6.0,33.3,7.0,8.0,87.5,56.4,37.5,75.0,100.0,0.0,11.0,,,,,,,13.0,5.0,1.0,1.0,0.0,0.0,15.0,0.0,2.0,2.0,6.0,7.0,8.0,23.7,1424.0
2320857,A. Puig Lluch,981736,BARÇA,,6,,9.0,https://imagenes.feb.es/Foto.aspx?c=2320857,1,0,21.8,10.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,4.0,6.0,2.0,2.0,100.0,2.0,6.0,33.3,0.0,0.0,0.0,62.5,62.5,75.0,0.0,11.1,5.4,,,,,,,10.0,4.0,0.0,0.0,0.0,1.0,6.0,2.0,2.0,2.0,6.0,0.0,0.0,21.8,1309.0
2276968,C. Rodriguez Fuentes,981736,BARÇA,,6,,15.0,https://imagenes.feb.es/Foto.aspx?c=2276968,1,1,20.5,9.0,4.0,2.0,6.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,11.0,3.0,6.0,50.0,1.0,5.0,20.0,0.0,2.0,0.0,37.9,40.9,45.5,18.2,0.0,7.2,,,,,,,9.0,6.0,3.0,0.0,0.0,0.0,11.0,3.0,6.0,1.0,5.0,0.0,2.0,20.5,1229.0
2659612,E. Destom Alger,981736,BARÇA,,6,,10.0,https://imagenes.feb.es/Foto.aspx?c=2659612,1,1,18.5,9.0,7.0,3.0,10.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,13.0,15.0,4.0,7.0,57.1,0.0,5.0,0.0,1.0,1.0,100.0,36.2,33.3,41.7,8.3,13.9,8.7,,,,,,,9.0,10.0,3.0,1.0,0.0,2.0,15.0,4.0,7.0,0.0,5.0,1.0,1.0,18.5,1108.0
2319141,J. Martin Lopez,981736,BARÇA,,6,,16.0,https://imagenes.feb.es/Foto.aspx?c=2319141,1,1,22.1,8.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,3.0,3.0,7.0,8.0,4.0,10.0,40.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,36.4,9.1,9.1,8.0,6.4,,,,,,,8.0,2.0,3.0,4.0,0.0,1.0,8.0,4.0,10.0,0.0,1.0,0.0,1.0,22.1,1329.0
2740573,C. Gaye,981736,BARÇA,,6,,35.0,https://imagenes.feb.es/Foto.aspx?c=2740573,1,1,15.2,8.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,3.0,6.0,1.0,4.0,25.0,1.0,1.0,100.0,3.0,6.0,50.0,52.4,50.0,20.0,120.0,11.6,3.7,,,,,,,8.0,6.0,0.0,0.0,0.0,1.0,6.0,1.0,4.0,1.0,1.0,3.0,6.0,15.2,915.0
2229695,J. Llompart Perelló,981736,BARÇA,,6,,53.0,https://imagenes.feb.es/Foto.aspx?c=2229695,1,0,16.1,7.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,-6.0,9.0,2.0,2.0,100.0,1.0,3.0,33.3,0.0,1.0,0.0,64.3,70.0,60.0,20.0,15.5,6.3,,,,,,,7.0,2.0,2.0,1.0,0.0,1.0,9.0,2.0,2.0,1.0,3.0,0.0,1.0,16.1,966.0
2734668,S. Nagórski,981736,BARÇA,,6,,26.0,https://imagenes.feb.es/Foto.aspx?c=2734668,1,0,19.1,7.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,-1.0,2.0,3.0,66.7,1.0,7.0,14.3,0.0,1.0,0.0,33.5,35.0,70.0,10.0,16.1,-0.4,,,,,,,7.0,3.0,1.0,0.0,0.0,2.0,-1.0,2.0,3.0,1.0,7.0,0.0,1.0,19.1,1144.0
2156298,H. Lloscos Sanchez,981736,BARÇA,,6,,14.0,https://imagenes.feb.es/Foto.aspx?c=2156298,1,0,12.3,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,-1.0,3.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,33.3,2.7,,,,,,,2.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,12.3,740.0
2794652,I. Kamate,981736,BARÇA,,6,,19.0,https://imagenes.feb.es/Foto.aspx?c=2794652,1,0,19.1,2.0,2.0,6.0,8.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0,-2.0,1.0,5.0,20.0,0.0,1.0,0.0,0.0,2.0,0.0,14.5,16.7,16.7,33.3,42.1,-4.9,,,,,,,2.0,8.0,1.0,0.0,0.0,5.0,-2.0,1.0,5.0,0.0,1.0,0.0,2.0,19.1,1145.0
2196876,B. Ruiz Nevado,981736,BARÇA,,6,,32.0,https://imagenes.feb.es/Foto.aspx?c=2196876,1,0,7.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,-2.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,-2.7,,,,,,,0.0,1.0,1.0,0.0,0.0,3.0,-2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.5,447.0
2562523,W. Bol,981736,BARÇA,,6,,6.0,https://imagenes.feb.es/Foto.aspx?c=2562523,1,0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,244.0
2737570,N. Zhekel,986684,"BASKONIA ""A""",PG,6,Offensive Engine,8.0,https://imagenes.feb.es/Foto.aspx?c=2737570,2,2,20.0,15.0,2.5,2.0,4.5,0.5,1.0,0.0,0.0,1.0,0.5,2.5,-26.5,13.0,3.0,8.5,35.3,2.0,4.0,50.0,3.0,4.5,66.7,51.8,48.0,32.0,36.0,6.5,10.2,33.8,48.8,9.9,9.3,84.7,29.8,30.0,9.0,1.0,2.0,0.0,2.0,26.0,6.0,17.0,4.0,8.0,6.0,9.0,39.9,2394.0
2817296,D. Giuliani,986684,"BASKONIA ""A""",SG,6,3&D Wing,16.0,https://imagenes.feb.es/Foto.aspx?c=2817296,2,1,23.8,15.0,0.5,3.5,4.0,0.0,0.5,0.0,0.0,3.5,1.0,3.5,-29.5,5.5,4.5,7.5,60.0,1.5,8.5,17.6,1.5,4.5,33.3,41.7,42.2,53.1,28.1,16.3,3.0,42.6,41.8,16.3,1.6,30.6,37.1,30.0,8.0,0.0,1.0,0.0,7.0,11.0,9.0,15.0,3.0,17.0,3.0,9.0,47.6,2854.0
2597082,R. Osagie Egharevba,986684,"BASKONIA ""A""",,6,Traditional Center,14.0,https://imagenes.feb.es/Foto.aspx?c=2597082,2,2,24.2,7.5,0.0,2.0,2.0,1.5,0.5,2.0,0.0,4.0,0.0,3.5,-39.0,10.5,3.0,3.5,85.7,0.5,1.5,33.3,0.0,1.0,0.0,68.9,75.0,30.0,20.0,42.4,4.5,79.6,70.7,42.5,0.0,23.7,16.3,15.0,4.0,3.0,1.0,4.0,8.0,21.0,6.0,7.0,1.0,3.0,0.0,2.0,48.5,2909.0
2621833,G. Errasti Ugarte,986684,"BASKONIA ""A""",PG,6,Rolling Big,17.0,https://imagenes.feb.es/Foto.aspx?c=2621833,2,0,25.1,4.5,1.0,1.5,2.5,2.0,1.5,0.0,0.5,6.5,3.0,4.5,-38.0,-7.5,1.0,8.5,11.8,0.0,4.0,0.0,2.5,4.0,62.5,15.8,8.0,32.0,32.0,31.3,-8.1,7.9,15.0,31.6,3.6,31.8,34.6,9.0,5.0,4.0,3.0,0.0,13.0,-15.0,2.0,17.0,0.0,8.0,5.0,8.0,50.2,3011.0
2494234,H. Tagarro Gomez,986684,"BASKONIA ""A""",,6,Rolling Big,12.0,https://imagenes.feb.es/Foto.aspx?c=2494234,2,2,20.5,2.0,0.0,1.5,1.5,1.0,0.5,0.0,0.5,3.5,2.5,0.5,-26.0,-3.0,1.0,3.0,33.3,0.0,0.5,0.0,0.0,0.0,0.0,28.6,28.6,14.3,0.0,50.0,-2.9,45.9,45.9,51.6,0.0,0.0,13.7,4.0,3.0,2.0,1.0,0.0,7.0,-6.0,2.0,6.0,0.0,1.0,0.0,0.0,41.0,2457.0
2494235,I. Zaldibar Crespo,986684,"BASKONIA ""A""",SF,6,Rolling Big,7.0,https://imagenes.feb.es/Foto.aspx?c=2494235,2,1,15.8,1.5,2.0,1.0,3.0,0.5,0.5,0.5,0.0,1.5,1.5,0.0,-30.0,1.5,0.0,1.0,0.0,0.5,1.0,50.0,0.0,0.0,0.0,37.5,37.5,50.0,0.0,42.9,1.1,36.7,36.7,41.5,11.3,0.0,9.0,3.0,6.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,31.7,1902.0
2869341,A. Morankic,986684,"BASKONIA ""A""",,6,Rolling Big,13.0,https://imagenes.feb.es/Foto.aspx?c=2869341,2,1,20.2,1.5,2.5,5.0,7.5,2.0,0.0,1.0,0.0,2.5,0.5,1.0,-32.0,0.5,0.0,5.0,0.0,0.0,4.0,0.0,1.5,2.0,75.0,7.6,0.0,44.4,22.2,20.2,-2.4,0.0,9.0,20.7,12.3,29.1,25.4,3.0,15.0,4.0,0.0,2.0,5.0,1.0,0.0,10.0,0.0,8.0,3.0,4.0,40.4,2423.0
2640328,I. Amescua Plaza,986684,"BASKONIA ""A""",SF,6,3&D Wing,6.0,https://imagenes.feb.es/Foto.aspx?c=2640328,2,0,10.2,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,-8.0,1.0,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,1.0,44.9,44.9,0.0,0.0,0.0,2.2,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,20.5,1232.0
2640329,O. Marin San Jose,986684,"BASKONIA ""A""",C,6,Rolling Big,11.0,https://imagenes.feb.es/Foto.aspx?c=2640329,2,0,7.8,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.5,-12.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,25.0,28.4,0.0,0.0,0.0,53.2,-0.3,0.0,30.4,53.2,6.8,0.0,10.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,15.5,930.0
2494245,J. Baez Saenz,986684,"BASKONIA ""A""",C,6,Rolling Big,15.0,https://imagenes.feb.es/Foto.aspx?c=2494245,2,0,11.6,0.0,0.0,2.0,2.0,1.0,0.5,0.5,0.0,1.5,2.0,0.5,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-0.2,0.0,0.0,61.6,0.0,0.0,4.8,0.0,4.0,2.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,1393.0
2640331,I. Sanchez Lopez,986684,"BASKONIA ""A""",C,6,Rolling Big,5.0,https://imagenes.feb.es/Foto.aspx?c=2640331,2,0,7.2,0.0,0.5,2.5,3.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,-11.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.2,0.0,0.0,45.7,5.2,0.0,7.8,0.0,6.0,2.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,14.3,857.0
2694162,P. Iyen,986684,"BASKONIA ""A""",C,6,Rolling Big,9.0,https://imagenes.feb.es/Foto.aspx?c=2694162,2,1,13.6,0.0,1.0,0.5,1.5,0.0,0.0,0.0,0.0,1.5,3.0,0.0,-14.5,-4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,-2.6,0.0,0.0,39.6,6.5,0.0,8.0,0.0,3.0,0.0,0.0,0.0,3.0,-8.0,0.0,2.0,0.0,0.0,0.0,0.0,27.3,1638.0
2256225,X. Falla Gil,989930,BÀSQUET GIRONA U16,,6,,7.0,https://imagenes.feb.es/Foto.aspx?c=2256225,1,0,19.8,13.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,-11.0,8.0,5.0,8.0,62.5,0.0,1.0,0.0,3.0,5.0,60.0,58.0,55.6,11.1,55.6,15.2,6.3,,,,,,,13.0,2.0,0.0,1.0,0.0,2.0,8.0,5.0,8.0,0.0,1.0,3.0,5.0,19.8,1190.0
2460083,G. Rabert Verdaguer,989930,BÀSQUET GIRONA U16,,6,,3.0,https://imagenes.feb.es/Foto.aspx?c=2460083,1,1,19.3,6.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,-13.0,1.0,3.0,7.0,42.9,0.0,3.0,0.0,0.0,2.0,0.0,27.6,30.0,30.0,20.0,26.9,-1.7,,,,,,,6.0,4.0,1.0,1.0,0.0,4.0,1.0,3.0,7.0,0.0,3.0,0.0,2.0,19.3,1160.0
2244134,B. Cubarsí I Cabarrocas,989930,BÀSQUET GIRONA U16,,6,,88.0,https://imagenes.feb.es/Foto.aspx?c=2244134,1,0,13.4,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,-1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,4.0,75.0,90.6,100.0,0.0,400.0,42.0,1.0,,,,,,,5.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,13.4,806.0
